datapoints	percentage	call	xmin	xmax	xmean	bmin	bmax	bmean
1000	14.60	xtal-xtal	5.09	15.62	7.61	-18.66	-9.00	-10.91
1000	49.60	bio-bio	5.09	15.62	7.61	-18.66	-9.00	-10.91
1000	35.40	xtal-bio	5.09	15.62	7.61	-18.66	-9.00	-10.91
1000	0.40	bio-xtal	5.09	15.62	7.61	-18.66	-9.00	-10.91
1000	64.20	same	5.09	15.62	7.61	-18.66	-9.00	-10.91
1000	35.80	different	5.09	15.62	7.61	-18.66	-9.00	-10.91
2000	22.40	xtal-xtal	3.23	15.62	5.76	-18.66	-7.66	-9.59
2000	49.05	bio-bio	3.23	15.62	5.76	-18.66	-7.66	-9.59
2000	27.60	xtal-bio	3.23	15.62	5.76	-18.66	-7.66	-9.59
2000	0.95	bio-xtal	3.23	15.62	5.76	-18.66	-7.66	-9.59
2000	71.45	same	3.23	15.62	5.76	-18.66	-7.66	-9.59
2000	28.55	different	3.23	15.62	5.76	-18.66	-7.66	-9.59
3000	28.47	xtal-xtal	2.76	15.62	4.83	-18.66	-6.97	-8.82
3000	49.07	bio-bio	2.76	15.62	4.83	-18.66	-6.97	-8.82
3000	21.53	xtal-bio	2.76	15.62	4.83	-18.66	-6.97	-8.82
3000	0.93	bio-xtal	2.76	15.62	4.83	-18.66	-6.97	-8.82
3000	77.53	same	2.76	15.62	4.83	-18.66	-6.97	-8.82
3000	22.47	different	2.76	15.62	4.83	-18.66	-6.97	-8.82
4000	31.97	xtal-xtal	2.49	15.62	4.28	-18.66	-6.49	-8.30
4000	49.05	bio-bio	2.49	15.62	4.28	-18.66	-6.49	-8.30
4000	18.02	xtal-bio	2.49	15.62	4.28	-18.66	-6.49	-8.30
4000	0.95	bio-xtal	2.49	15.62	4.28	-18.66	-6.49	-8.30
4000	81.03	same	2.49	15.62	4.28	-18.66	-6.49	-8.30
4000	18.98	different	2.49	15.62	4.28	-18.66	-6.49	-8.30
5000	33.92	xtal-xtal	2.28	15.62	3.90	-18.66	-6.05	-7.89
5000	49.04	bio-bio	2.28	15.62	3.90	-18.66	-6.05	-7.89
5000	16.08	xtal-bio	2.28	15.62	3.90	-18.66	-6.05	-7.89
5000	0.96	bio-xtal	2.28	15.62	3.90	-18.66	-6.05	-7.89
5000	82.96	same	2.28	15.62	3.90	-18.66	-6.05	-7.89
5000	17.04	different	2.28	15.62	3.90	-18.66	-6.05	-7.89
6000	35.28	xtal-xtal	2.12	15.62	3.61	-18.66	-5.74	-7.56
6000	48.97	bio-bio	2.12	15.62	3.61	-18.66	-5.74	-7.56
6000	14.72	xtal-bio	2.12	15.62	3.61	-18.66	-5.74	-7.56
6000	1.03	bio-xtal	2.12	15.62	3.61	-18.66	-5.74	-7.56
6000	84.25	same	2.12	15.62	3.61	-18.66	-5.74	-7.56
6000	15.75	different	2.12	15.62	3.61	-18.66	-5.74	-7.56
7000	36.41	xtal-xtal	1.99	15.62	3.39	-18.66	-5.48	-7.28
7000	48.84	bio-bio	1.99	15.62	3.39	-18.66	-5.48	-7.28
7000	13.59	xtal-bio	1.99	15.62	3.39	-18.66	-5.48	-7.28
7000	1.16	bio-xtal	1.99	15.62	3.39	-18.66	-5.48	-7.28
7000	85.26	same	1.99	15.62	3.39	-18.66	-5.48	-7.28
7000	14.74	different	1.99	15.62	3.39	-18.66	-5.48	-7.28
8000	37.24	xtal-xtal	1.88	15.62	3.21	-18.66	-5.25	-7.04
8000	48.79	bio-bio	1.88	15.62	3.21	-18.66	-5.25	-7.04
8000	12.76	xtal-bio	1.88	15.62	3.21	-18.66	-5.25	-7.04
8000	1.21	bio-xtal	1.88	15.62	3.21	-18.66	-5.25	-7.04
8000	86.02	same	1.88	15.62	3.21	-18.66	-5.25	-7.04
8000	13.98	different	1.88	15.62	3.21	-18.66	-5.25	-7.04
9000	37.87	xtal-xtal	1.76	15.62	3.05	-18.66	-5.04	-6.83
9000	48.62	bio-bio	1.76	15.62	3.05	-18.66	-5.04	-6.83
9000	12.13	xtal-bio	1.76	15.62	3.05	-18.66	-5.04	-6.83
9000	1.38	bio-xtal	1.76	15.62	3.05	-18.66	-5.04	-6.83
9000	86.49	same	1.76	15.62	3.05	-18.66	-5.04	-6.83
9000	13.51	different	1.76	15.62	3.05	-18.66	-5.04	-6.83
10000	38.42	xtal-xtal	1.65	15.62	2.92	-18.66	-4.88	-6.64
10000	48.59	bio-bio	1.65	15.62	2.92	-18.66	-4.88	-6.64
10000	11.58	xtal-bio	1.65	15.62	2.92	-18.66	-4.88	-6.64
10000	1.41	bio-xtal	1.65	15.62	2.92	-18.66	-4.88	-6.64
10000	87.01	same	1.65	15.62	2.92	-18.66	-4.88	-6.64
10000	12.99	different	1.65	15.62	2.92	-18.66	-4.88	-6.64
11000	38.75	xtal-xtal	1.55	15.62	2.80	-18.66	-4.73	-6.48
11000	48.55	bio-bio	1.55	15.62	2.80	-18.66	-4.73	-6.48
11000	11.25	xtal-bio	1.55	15.62	2.80	-18.66	-4.73	-6.48
11000	1.45	bio-xtal	1.55	15.62	2.80	-18.66	-4.73	-6.48
11000	87.30	same	1.55	15.62	2.80	-18.66	-4.73	-6.48
11000	12.70	different	1.55	15.62	2.80	-18.66	-4.73	-6.48
12000	39.06	xtal-xtal	1.46	15.62	2.69	-18.66	-4.60	-6.32
12000	48.53	bio-bio	1.46	15.62	2.69	-18.66	-4.60	-6.32
12000	10.94	xtal-bio	1.46	15.62	2.69	-18.66	-4.60	-6.32
12000	1.47	bio-xtal	1.46	15.62	2.69	-18.66	-4.60	-6.32
12000	87.59	same	1.46	15.62	2.69	-18.66	-4.60	-6.32
12000	12.41	different	1.46	15.62	2.69	-18.66	-4.60	-6.32
13000	39.45	xtal-xtal	1.38	15.62	2.59	-18.66	-4.48	-6.19
13000	48.51	bio-bio	1.38	15.62	2.59	-18.66	-4.48	-6.19
13000	10.55	xtal-bio	1.38	15.62	2.59	-18.66	-4.48	-6.19
13000	1.49	bio-xtal	1.38	15.62	2.59	-18.66	-4.48	-6.19
13000	87.96	same	1.38	15.62	2.59	-18.66	-4.48	-6.19
13000	12.04	different	1.38	15.62	2.59	-18.66	-4.48	-6.19
14000	39.80	xtal-xtal	1.31	15.62	2.50	-18.66	-4.36	-6.06
14000	48.51	bio-bio	1.31	15.62	2.50	-18.66	-4.36	-6.06
14000	10.20	xtal-bio	1.31	15.62	2.50	-18.66	-4.36	-6.06
14000	1.49	bio-xtal	1.31	15.62	2.50	-18.66	-4.36	-6.06
14000	88.31	same	1.31	15.62	2.50	-18.66	-4.36	-6.06
14000	11.69	different	1.31	15.62	2.50	-18.66	-4.36	-6.06
15000	40.01	xtal-xtal	1.24	15.62	2.42	-18.66	-4.26	-5.94
15000	48.47	bio-bio	1.24	15.62	2.42	-18.66	-4.26	-5.94
15000	9.99	xtal-bio	1.24	15.62	2.42	-18.66	-4.26	-5.94
15000	1.53	bio-xtal	1.24	15.62	2.42	-18.66	-4.26	-5.94
15000	88.49	same	1.24	15.62	2.42	-18.66	-4.26	-5.94
15000	11.51	different	1.24	15.62	2.42	-18.66	-4.26	-5.94
16000	40.05	xtal-xtal	1.17	15.62	2.35	-18.66	-4.16	-5.84
16000	48.48	bio-bio	1.17	15.62	2.35	-18.66	-4.16	-5.84
16000	9.95	xtal-bio	1.17	15.62	2.35	-18.66	-4.16	-5.84
16000	1.52	bio-xtal	1.17	15.62	2.35	-18.66	-4.16	-5.84
16000	88.53	same	1.17	15.62	2.35	-18.66	-4.16	-5.84
16000	11.47	different	1.17	15.62	2.35	-18.66	-4.16	-5.84
17000	40.18	xtal-xtal	1.11	15.62	2.27	-18.66	-4.07	-5.73
17000	48.41	bio-bio	1.11	15.62	2.27	-18.66	-4.07	-5.73
17000	9.82	xtal-bio	1.11	15.62	2.27	-18.66	-4.07	-5.73
17000	1.59	bio-xtal	1.11	15.62	2.27	-18.66	-4.07	-5.73
17000	88.59	same	1.11	15.62	2.27	-18.66	-4.07	-5.73
17000	11.41	different	1.11	15.62	2.27	-18.66	-4.07	-5.73
18000	40.24	xtal-xtal	1.05	15.62	2.21	-18.66	-3.99	-5.64
18000	48.39	bio-bio	1.05	15.62	2.21	-18.66	-3.99	-5.64
18000	9.76	xtal-bio	1.05	15.62	2.21	-18.66	-3.99	-5.64
18000	1.61	bio-xtal	1.05	15.62	2.21	-18.66	-3.99	-5.64
18000	88.64	same	1.05	15.62	2.21	-18.66	-3.99	-5.64
18000	11.36	different	1.05	15.62	2.21	-18.66	-3.99	-5.64
19000	40.21	xtal-xtal	1.00	15.62	2.15	-18.66	-3.92	-5.55
19000	48.34	bio-bio	1.00	15.62	2.15	-18.66	-3.92	-5.55
