datapoints	percentage	call	xmin	xmax	xmean	bmin	bmax	bmean
200	25.50	xtal-xtal	4.39	11.89	5.27	-18.66	-11.22	-13.68
200	50.00	bio-bio	4.39	11.89	5.27	-18.66	-11.22	-13.68
200	24.50	xtal-bio	4.39	11.89	5.27	-18.66	-11.22	-13.68
200	0.00	bio-xtal	4.39	11.89	5.27	-18.66	-11.22	-13.68
200	75.50	same	4.39	11.89	5.27	-18.66	-11.22	-13.68
200	24.50	different	4.39	11.89	5.27	-18.66	-11.22	-13.68
400	33.25	xtal-xtal	3.66	11.89	4.62	-18.66	-9.91	-12.05
400	49.50	bio-bio	3.66	11.89	4.62	-18.66	-9.91	-12.05
400	16.75	xtal-bio	3.66	11.89	4.62	-18.66	-9.91	-12.05
400	0.50	bio-xtal	3.66	11.89	4.62	-18.66	-9.91	-12.05
400	82.75	same	3.66	11.89	4.62	-18.66	-9.91	-12.05
400	17.25	different	3.66	11.89	4.62	-18.66	-9.91	-12.05
600	35.33	xtal-xtal	3.24	11.89	4.22	-18.66	-9.28	-11.22
600	49.67	bio-bio	3.24	11.89	4.22	-18.66	-9.28	-11.22
600	14.67	xtal-bio	3.24	11.89	4.22	-18.66	-9.28	-11.22
600	0.33	bio-xtal	3.24	11.89	4.22	-18.66	-9.28	-11.22
600	85.00	same	3.24	11.89	4.22	-18.66	-9.28	-11.22
600	15.00	different	3.24	11.89	4.22	-18.66	-9.28	-11.22
800	37.25	xtal-xtal	3.05	11.89	3.95	-18.66	-8.82	-10.68
800	49.38	bio-bio	3.05	11.89	3.95	-18.66	-8.82	-10.68
800	12.75	xtal-bio	3.05	11.89	3.95	-18.66	-8.82	-10.68
800	0.62	bio-xtal	3.05	11.89	3.95	-18.66	-8.82	-10.68
800	86.62	same	3.05	11.89	3.95	-18.66	-8.82	-10.68
800	13.38	different	3.05	11.89	3.95	-18.66	-8.82	-10.68
1000	38.00	xtal-xtal	2.92	11.89	3.75	-18.66	-8.44	-10.27
1000	49.40	bio-bio	2.92	11.89	3.75	-18.66	-8.44	-10.27
1000	12.00	xtal-bio	2.92	11.89	3.75	-18.66	-8.44	-10.27
1000	0.60	bio-xtal	2.92	11.89	3.75	-18.66	-8.44	-10.27
1000	87.40	same	2.92	11.89	3.75	-18.66	-8.44	-10.27
1000	12.60	different	2.92	11.89	3.75	-18.66	-8.44	-10.27
1200	38.25	xtal-xtal	2.81	11.89	3.60	-18.66	-8.16	-9.94
1200	49.25	bio-bio	2.81	11.89	3.60	-18.66	-8.16	-9.94
1200	11.75	xtal-bio	2.81	11.89	3.60	-18.66	-8.16	-9.94
1200	0.75	bio-xtal	2.81	11.89	3.60	-18.66	-8.16	-9.94
1200	87.50	same	2.81	11.89	3.60	-18.66	-8.16	-9.94
1200	12.50	different	2.81	11.89	3.60	-18.66	-8.16	-9.94
1400	39.21	xtal-xtal	2.71	11.89	3.48	-18.66	-7.87	-9.66
1400	49.07	bio-bio	2.71	11.89	3.48	-18.66	-7.87	-9.66
