datapoints	percentage	call	xmin	xmax	xmean	bmin	bmax	bmean
200	45.00	xtal-xtal	3.82	11.89	4.67	-18.66	-11.22	-13.68
200	50.00	bio-bio	3.82	11.89	4.67	-18.66	-11.22	-13.68
200	5.00	xtal-bio	3.82	11.89	4.67	-18.66	-11.22	-13.68
200	0.00	bio-xtal	3.82	11.89	4.67	-18.66	-11.22	-13.68
200	95.00	same	3.82	11.89	4.67	-18.66	-11.22	-13.68
200	5.00	different	3.82	11.89	4.67	-18.66	-11.22	-13.68
400	45.50	xtal-xtal	3.30	11.89	4.12	-18.66	-9.89	-12.04
400	49.50	bio-bio	3.30	11.89	4.12	-18.66	-9.89	-12.04
400	4.50	xtal-bio	3.30	11.89	4.12	-18.66	-9.89	-12.04
400	0.50	bio-xtal	3.30	11.89	4.12	-18.66	-9.89	-12.04
400	95.00	same	3.30	11.89	4.12	-18.66	-9.89	-12.04
400	5.00	different	3.30	11.89	4.12	-18.66	-9.89	-12.04
600	45.50	xtal-xtal	3.07	11.89	3.80	-18.66	-9.26	-11.21
600	49.67	bio-bio	3.07	11.89	3.80	-18.66	-9.26	-11.21
600	4.50	xtal-bio	3.07	11.89	3.80	-18.66	-9.26	-11.21
600	0.33	bio-xtal	3.07	11.89	3.80	-18.66	-9.26	-11.21
600	95.17	same	3.07	11.89	3.80	-18.66	-9.26	-11.21
600	4.83	different	3.07	11.89	3.80	-18.66	-9.26	-11.21
800	45.62	xtal-xtal	2.91	11.89	3.60	-18.66	-8.81	-10.67
800	49.38	bio-bio	2.91	11.89	3.60	-18.66	-8.81	-10.67
800	4.38	xtal-bio	2.91	11.89	3.60	-18.66	-8.81	-10.67
800	0.62	bio-xtal	2.91	11.89	3.60	-18.66	-8.81	-10.67
800	95.00	same	2.91	11.89	3.60	-18.66	-8.81	-10.67
800	5.00	different	2.91	11.89	3.60	-18.66	-8.81	-10.67
1000	45.20	xtal-xtal	2.79	11.89	3.45	-18.66	-8.43	-10.25
1000	49.30	bio-bio	2.79	11.89	3.45	-18.66	-8.43	-10.25
1000	4.80	xtal-bio	2.79	11.89	3.45	-18.66	-8.43	-10.25
1000	0.70	bio-xtal	2.79	11.89	3.45	-18.66	-8.43	-10.25
1000	94.50	same	2.79	11.89	3.45	-18.66	-8.43	-10.25
1000	5.50	different	2.79	11.89	3.45	-18.66	-8.43	-10.25
1200	45.75	xtal-xtal	2.69	11.89	3.33	-18.66	-8.13	-9.92
1200	49.25	bio-bio	2.69	11.89	3.33	-18.66	-8.13	-9.92
1200	4.25	xtal-bio	2.69	11.89	3.33	-18.66	-8.13	-9.92
1200	0.75	bio-xtal	2.69	11.89	3.33	-18.66	-8.13	-9.92
1200	95.00	same	2.69	11.89	3.33	-18.66	-8.13	-9.92
1200	5.00	different	2.69	11.89	3.33	-18.66	-8.13	-9.92
1400	46.00	xtal-xtal	2.60	11.89	3.23	-18.66	-7.82	-9.64
1400	49.00	bio-bio	2.60	11.89	3.23	-18.66	-7.82	-9.64
1400	4.00	xtal-bio	2.60	11.89	3.23	-18.66	-7.82	-9.64
1400	1.00	bio-xtal	2.60	11.89	3.23	-18.66	-7.82	-9.64
1400	95.00	same	2.60	11.89	3.23	-18.66	-7.82	-9.64
1400	5.00	different	2.60	11.89	3.23	-18.66	-7.82	-9.64
1600	45.94	xtal-xtal	2.52	11.89	3.15	-18.66	-7.51	-9.40
1600	49.00	bio-bio	2.52	11.89	3.15	-18.66	-7.51	-9.40
1600	4.06	xtal-bio	2.52	11.89	3.15	-18.66	-7.51	-9.40
1600	1.00	bio-xtal	2.52	11.89	3.15	-18.66	-7.51	-9.40
1600	94.94	same	2.52	11.89	3.15	-18.66	-7.51	-9.40
1600	5.06	different	2.52	11.89	3.15	-18.66	-7.51	-9.40
1800	45.94	xtal-xtal	2.44	11.89	3.07	-18.66	-7.28	-9.17
1800	49.00	bio-bio	2.44	11.89	3.07	-18.66	-7.28	-9.17
1800	4.06	xtal-bio	2.44	11.89	3.07	-18.66	-7.28	-9.17
1800	1.00	bio-xtal	2.44	11.89	3.07	-18.66	-7.28	-9.17
1800	94.94	same	2.44	11.89	3.07	-18.66	-7.28	-9.17
1800	5.06	different	2.44	11.89	3.07	-18.66	-7.28	-9.17
2000	46.20	xtal-xtal	2.38	11.89	3.01	-18.66	-7.10	-8.97
2000	49.10	bio-bio	2.38	11.89	3.01	-18.66	-7.10	-8.97
2000	3.80	xtal-bio	2.38	11.89	3.01	-18.66	-7.10	-8.97
2000	0.90	bio-xtal	2.38	11.89	3.01	-18.66	-7.10	-8.97
2000	95.30	same	2.38	11.89	3.01	-18.66	-7.10	-8.97
2000	4.70	different	2.38	11.89	3.01	-18.66	-7.10	-8.97
2200	46.23	xtal-xtal	2.33	11.89	2.95	-18.66	-7.00	-8.80
2200	49.18	bio-bio	2.33	11.89	2.95	-18.66	-7.00	-8.80
2200	3.77	xtal-bio	2.33	11.89	2.95	-18.66	-7.00	-8.80
2200	0.82	bio-xtal	2.33	11.89	2.95	-18.66	-7.00	-8.80
2200	95.41	same	2.33	11.89	2.95	-18.66	-7.00	-8.80
2200	4.59	different	2.33	11.89	2.95	-18.66	-7.00	-8.80
2400	46.38	xtal-xtal	2.27	11.89	2.89	-18.66	-6.89	-8.64
2400	49.21	bio-bio	2.27	11.89	2.89	-18.66	-6.89	-8.64
2400	3.62	xtal-bio	2.27	11.89	2.89	-18.66	-6.89	-8.64
2400	0.79	bio-xtal	2.27	11.89	2.89	-18.66	-6.89	-8.64
2400	95.58	same	2.27	11.89	2.89	-18.66	-6.89	-8.64
2400	4.42	different	2.27	11.89	2.89	-18.66	-6.89	-8.64
2600	46.15	xtal-xtal	2.22	11.89	2.84	-18.66	-6.77	-8.51
2600	49.23	bio-bio	2.22	11.89	2.84	-18.66	-6.77	-8.51
2600	3.85	xtal-bio	2.22	11.89	2.84	-18.66	-6.77	-8.51
2600	0.77	bio-xtal	2.22	11.89	2.84	-18.66	-6.77	-8.51
2600	95.38	same	2.22	11.89	2.84	-18.66	-6.77	-8.51
2600	4.62	different	2.22	11.89	2.84	-18.66	-6.77	-8.51
2800	46.14	xtal-xtal	2.17	11.89	2.80	-18.66	-6.64	-8.38
2800	49.25	bio-bio	2.17	11.89	2.80	-18.66	-6.64	-8.38
2800	3.86	xtal-bio	2.17	11.89	2.80	-18.66	-6.64	-8.38
2800	0.75	bio-xtal	2.17	11.89	2.80	-18.66	-6.64	-8.38
2800	95.39	same	2.17	11.89	2.80	-18.66	-6.64	-8.38
2800	4.61	different	2.17	11.89	2.80	-18.66	-6.64	-8.38
3000	46.20	xtal-xtal	2.12	11.89	2.75	-18.66	-6.48	-8.26
3000	49.17	bio-bio	2.12	11.89	2.75	-18.66	-6.48	-8.26
3000	3.80	xtal-bio	2.12	11.89	2.75	-18.66	-6.48	-8.26
3000	0.83	bio-xtal	2.12	11.89	2.75	-18.66	-6.48	-8.26
3000	95.37	same	2.12	11.89	2.75	-18.66	-6.48	-8.26
3000	4.63	different	2.12	11.89	2.75	-18.66	-6.48	-8.26
3200	46.19	xtal-xtal	2.08	11.89	2.71	-18.66	-6.34	-8.14
3200	49.16	bio-bio	2.08	11.89	2.71	-18.66	-6.34	-8.14
3200	3.81	xtal-bio	2.08	11.89	2.71	-18.66	-6.34	-8.14
